Boro,street,fromSt,avg_vol,lat,lon,geometry
Bronx,145 STREET BRIDGE APPROACH,145 Street Bridge,149.10416666666666,40.8195039,-73.9334181,POINT (-73.9334181 40.8195039)
Bronx,2ND EXIT FROM MALL TO BAYCHESTER AVE,BAYCHESTER AVENUE,2.3055827619980414,40.8816456,-73.8389755,POINT (-73.8389755 40.8816456)
Bronx,3 AV,E 148 ST,121.45968882602546,40.8155464,-73.9186047,POINT (-73.9186047 40.8155464)
Bronx,3 AV,E 163 ST,106.49739583333333,40.824075,-73.90871039999999,POINT (-73.90871039999999 40.824075)
Bronx,3 AV,EAST 161 STREET,96.10026041666667,40.8225458,-73.90991609999999,POINT (-73.90991609999999 40.8225458)
Bronx,3 AVENUE BRIDGE,Dead End,183.45607522890373,40.8071752,-73.9334411,POINT (-73.9334411 40.8071752)
Bronx,ADAMS PLACE,East 183 Street,16.517060367454068,40.8529879,-73.8889246,POINT (-73.8889246 40.8529879)
Bronx,ALLERTON AVE EB APPROACH TO BARKER AVE,BRONX PARK E/SOUTHERN BLVD/MOSHOLU PARKWAY GREENW*,141.5,40.8677652,-73.8795556,POINT (-73.8795556 40.8677652)
Bronx,ALLERTON AVE WB APPROACH TO BX PARK EAST,BRONX PARK E/SOUTHERN BLVD/MOSHOLU PARKWAY GREENW*,72.90492957746478,40.8677652,-73.8795556,POINT (-73.8795556 40.8677652)
Bronx,ALLERTON AVENUE,Alley,57.640845070422536,40.8654178,-73.8519569,POINT (-73.8519569 40.8654178)
Bronx,ALLERTON AVENUE,Holland Avenue,66.79020979020979,40.8654728,-73.86539979999999,POINT (-73.86539979999999 40.8654728)
Bronx,ANDERSON AVENUE,West 162 Street,45.022922636103154,40.8310001,-73.92812339999999,POINT (-73.92812339999999 40.8310001)
Bronx,ASCH LOOP APPROACH TO BARTOW AVE,ALDRICH ST,46.42857142857143,40.8691177,-73.8302124,POINT (-73.8302124 40.8691177)
Bronx,BARRETTO STREET,Lafayette Avenue,54.30670103092783,40.8165968,-73.889813,POINT (-73.889813 40.8165968)
